Browser Name,Browser Version
firefox,125.0.3
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",0.0 GB
Wasm_time_taken,Js_time_taken
3.00 ms,15.00 ms
5.00 ms,24.00 ms
2.00 ms,14.00 ms
4.00 ms,15.00 ms
3.00 ms,15.00 ms
2.00 ms,14.00 ms
3.00 ms,17.00 ms
4.00 ms,13.00 ms
2.00 ms,14.00 ms
4.00 ms,14.00 ms
2.00 ms,20.00 ms
3.00 ms,15.00 ms
3.00 ms,15.00 ms
2.00 ms,14.00 ms
3.00 ms,13.00 ms
4.00 ms,14.00 ms
3.00 ms,12.00 ms
8.00 ms,12.00 ms
4.00 ms,13.00 ms
3.00 ms,14.00 ms
4.00 ms,17.00 ms
4.00 ms,13.00 ms
3.00 ms,15.00 ms
2.00 ms,13.00 ms
5.00 ms,13.00 ms
3.00 ms,15.00 ms
2.00 ms,14.00 ms
3.00 ms,14.00 ms
3.00 ms,14.00 ms
4.00 ms,13.00 ms
4.00 ms,15.00 ms
3.00 ms,14.00 ms
6.00 ms,15.00 ms
3.00 ms,15.00 ms
1.00 ms,14.00 ms
1.00 ms,15.00 ms
3.00 ms,15.00 ms
1.00 ms,15.00 ms
2.00 ms,15.00 ms
3.00 ms,16.00 ms
3.00 ms,13.00 ms
3.00 ms,15.00 ms
3.00 ms,13.00 ms
2.00 ms,14.00 ms
2.00 ms,14.00 ms
3.00 ms,16.00 ms
3.00 ms,14.00 ms
4.00 ms,13.00 ms
2.00 ms,13.00 ms
5.00 ms,28.00 ms
3.00 ms,16.00 ms
3.00 ms,15.00 ms
3.00 ms,14.00 ms
3.00 ms,13.00 ms
3.00 ms,15.00 ms
2.00 ms,13.00 ms
3.00 ms,15.00 ms
3.00 ms,13.00 ms
2.00 ms,15.00 ms
4.00 ms,14.00 ms
4.00 ms,18.00 ms
2.00 ms,13.00 ms
4.00 ms,14.00 ms
2.00 ms,13.00 ms
7.00 ms,14.00 ms
2.00 ms,14.00 ms
2.00 ms,15.00 ms
1.00 ms,16.00 ms
8.00 ms,15.00 ms
2.00 ms,14.00 ms
2.00 ms,14.00 ms
3.00 ms,15.00 ms
3.00 ms,15.00 ms
3.00 ms,14.00 ms
2.00 ms,17.00 ms
3.00 ms,19.00 ms
3.00 ms,27.00 ms
5.00 ms,14.00 ms
3.00 ms,15.00 ms
4.00 ms,14.00 ms
3.00 ms,15.00 ms
4.00 ms,15.00 ms
2.00 ms,15.00 ms
2.00 ms,14.00 ms
2.00 ms,14.00 ms
2.00 ms,15.00 ms
3.00 ms,13.00 ms
4.00 ms,14.00 ms
5.00 ms,12.00 ms
3.00 ms,13.00 ms
4.00 ms,13.00 ms
3.00 ms,13.00 ms
5.00 ms,12.00 ms
1.00 ms,14.00 ms
3.00 ms,12.00 ms
3.00 ms,13.00 ms
3.00 ms,14.00 ms
2.00 ms,16.00 ms
2.00 ms,14.00 ms
2.00 ms,13.00 ms
3.00 ms,13.00 ms
3.00 ms,15.00 ms
3.00 ms,11.00 ms
5.00 ms,22.00 ms
3.00 ms,13.00 ms
3.00 ms,11.00 ms
3.00 ms,12.00 ms
3.00 ms,14.00 ms
2.00 ms,13.00 ms
2.00 ms,13.00 ms
2.00 ms,13.00 ms
2.00 ms,15.00 ms
3.00 ms,15.00 ms
4.00 ms,14.00 ms
2.00 ms,12.00 ms
5.00 ms,14.00 ms
2.00 ms,14.00 ms
3.00 ms,14.00 ms
2.00 ms,14.00 ms
3.00 ms,14.00 ms
3.00 ms,13.00 ms
4.00 ms,16.00 ms
3.00 ms,14.00 ms
4.00 ms,13.00 ms
2.00 ms,13.00 ms
2.00 ms,13.00 ms
1.00 ms,13.00 ms
3.00 ms,13.00 ms
2.00 ms,14.00 ms
4.00 ms,15.00 ms
4.00 ms,14.00 ms
2.00 ms,14.00 ms
3.00 ms,14.00 ms
2.00 ms,14.00 ms
2.00 ms,13.00 ms
3.00 ms,14.00 ms
4.00 ms,13.00 ms
2.00 ms,17.00 ms
4.00 ms,15.00 ms
2.00 ms,16.00 ms
3.00 ms,12.00 ms
1.00 ms,14.00 ms
2.00 ms,14.00 ms
4.00 ms,13.00 ms
4.00 ms,13.00 ms
6.00 ms,13.00 ms
3.00 ms,13.00 ms
2.00 ms,13.00 ms
4.00 ms,15.00 ms
6.00 ms,13.00 ms
9.00 ms,12.00 ms
3.00 ms,13.00 ms
2.00 ms,14.00 ms
3.00 ms,15.00 ms
3.00 ms,15.00 ms
3.00 ms,14.00 ms
3.00 ms,15.00 ms
2.00 ms,14.00 ms
4.00 ms,15.00 ms
4.00 ms,15.00 ms
3.00 ms,20.00 ms
4.00 ms,15.00 ms
3.00 ms,15.00 ms
3.00 ms,15.00 ms
2.00 ms,13.00 ms
4.00 ms,13.00 ms
3.00 ms,13.00 ms
2.00 ms,11.00 ms
4.00 ms,11.00 ms
5.00 ms,14.00 ms
5.00 ms,14.00 ms
6.00 ms,13.00 ms
4.00 ms,14.00 ms
4.00 ms,15.00 ms
3.00 ms,14.00 ms
4.00 ms,14.00 ms
4.00 ms,15.00 ms
